Date,Location,Conditions ,Temperature_F,Trappers ,Start_time,End_time,Trap_zone,Species ,Total_weight_g,Bag_weight_g,Sq_weight_g,Sex,Age,PIT_tag_number,Ear_tag_number,Fur_dye,Freeze_brand,Comments
6-Sep-10,SLU campus,"cloudy, cool",,whole class,14:23,15:30,E,SCCA,860,,,M,Adult,,R001,right hip,right hip,slightly scortal
6-Sep-10,SLU campus,"cloudy, cool",,whole class,14:23,15:30,F,SCCA,,,,M,Adult,,,"right hip, 2 patches",right backleg ,"missing tip of tail, slightly scortal, escaped"
6-Sep-10,SLU campus,"cloudy, cool",,whole class,14:23,15:30,B,SCCA,800,,,M,Adult,,R002,center rump,left leg,slightly scortal
6-Sep-10,SLU campus,"cloudy, cool",,whole class,14:23,15:30,B,SCCA,700,,,M,Adult,,R003,left leg,left middle,slightly scortal
6-Sep-10,SLU campus,"cloudy, cool",,whole class,14:23,15:30,B,SCCA,780,,,M,Adult,,R004,left middle,right middle,slightly scortal
8-Sep-10,,"cool, partly cloudy",65,"Erin, Hannah, Leah, Abbie",7:30,9:10,C,SCCA,950,,,F,Adult,,L005,back middle,left hip,nipples developed and large
8-Sep-10,,"cool, partly cloudy",65,"Erin, Hannah, Leah, Abbie",7:30,9:10,C,SCCA,750,,,F,Adult,,L007,left hip,center rump,nipples not developed
8-Sep-10,,"cool, partly cloudy",65,"Erin, Hannah, Leah, Abbie",7:30,9:10,C,SCCA,730,,,M,Adult,,L008,left hip,left hip,tiny scrotal
8-Sep-10,,"cool, partly cloudy",65,"Erin, Hannah, Leah, Abbie",7:30,9:10,C,SCCA,710,,,M,Sub Adult,,,right middle,right shoulder,"sub adult, escaped"
8-Sep-10,,"cool, partly cloudy",65,"Erin, Hannah, Leah, Abbie",7:30,9:10,C,SCCA,780,,,F,,,,,right hip,"esaped during freeze branding, freeze brand not sure"
8-Sep-10,,"cool, partly cloudy",65,"Erin, Hannah, Leah, Abbie",7:30,9:10,C,SCCA,790,,,F,Adult,,L009,right hip,right leg,"nipples large, freeze brand twitched then moved up "
10-Sep-10,Front JHS,cloudy ,70,"Andrew Skagges, Janet Sun, Eddie Richter",13:30,15:10,C,SCCA,800,,,F,Adult,,L010,LM to center rump,right hip,developed nipples 
10-Sep-10,Front JHS,cloudy ,70,,13:30,15:10,C,SCCA,790,,,M,Adult,,R011,right hip,right leg,"caught earlier, Y2 tail"
10-Sep-10,Front JHS,cloudy ,70,,13:30,15:10,C,SCCA,870,,,F,Adult,,,right leg,center shoulder,"developed nipples, escaped"
10-Sep-10,Front JHS,cloudy ,70,,13:30,15:10,C,SCCA,,,,F,Adult,,L009,right leg,right hip,released
10-Sep-10,Front JHS,cloudy ,70,,13:30,15:10,C,SCCA,710,,,M,Adult,,R012,"left hip, center rump","center middle, right hip",semi scrotal
10-Sep-10,Front JHS,cloudy ,70,,13:30,15:10,C,SCCA,750,,,F,Adult,,L013,center shoulder,"center rump, center middle",nipples small
1-Oct-10,SLU campus,cloudy,60,"Mathias, Lizzy, Amanda, FCB",13:30,16:00,A9,SCCA,,,,,,,R011,,,"recaptured, released"
